x,y,u,v,S
10.055707,-13.355933,0.917076,-0.001957,5.485505
10.584955,-13.808338,0.965495,-0.002375,5.549285
10.584955,-13.477866,0.965585,-0.002300,5.634351
10.584955,-13.151742,0.965636,-0.002411,5.719853
10.584955,-12.830024,0.965667,-0.002735,5.805817
10.055707,-11.961942,0.917449,-0.002653,5.870922
10.584955,-12.355823,0.965928,-0.002991,5.936953
10.584955,-12.045343,0.966226,-0.003332,6.025644
10.584955,-11.739440,0.966509,-0.003431,6.114543
10.584955,-11.438154,0.966814,-0.003196,6.203776
10.584955,-11.141520,0.967148,-0.002726,6.293295
10.584955,-10.849575,0.967579,-0.002719,6.383461
10.584955,-10.562347,0.967976,-0.003013,6.473308
10.773972,-10.392561,0.985743,-0.003636,6.585084
10.584955,-9.865084,0.968946,-0.004081,6.696614
10.584955,-9.594554,0.969362,-0.004452,6.785358
10.584955,-9.328835,0.969753,-0.004658,6.873292
10.584955,-9.067935,0.970028,-0.004563,6.959656
10.773972,-8.905084,0.987722,-0.004572,7.066433
10.584955,-8.436820,0.970772,-0.004630,7.171899
10.773972,-8.278067,0.988482,-0.005015,7.275328
10.584955,-7.835893,0.971606,-0.005138,7.377656
10.773972,-7.681739,0.989470,-0.005045,7.477918
10.584955,-7.265046,0.972556,-0.004305,7.575497
10.773972,-7.115919,0.990469,-0.003748,7.671086
10.773972,-6.790945,0.991144,-0.003082,7.782509
10.773972,-6.476752,0.991831,-0.002554,7.889937
10.773972,-6.173230,0.992579,-0.001995,7.993584
10.773972,-5.880256,0.993352,-0.001294,8.093017
10.773972,-5.597687,0.994179,-0.000537,8.188365
10.871035,-5.328862,1.004237,0.000509,8.294776
10.773972,-4.977890,0.996336,0.002096,8.394914
10.871035,-4.730718,1.006439,0.004494,8.489117
10.871035,-4.412659,1.007851,0.008496,8.590570
10.871035,-4.111166,1.009384,0.014655,8.685701
10.930117,-3.811972,1.016883,0.025515,8.787339
10.871035,-3.490070,1.013915,0.041155,8.887648
10.930117,-3.225043,1.022224,0.065001,8.988160
10.969863,-2.911566,1.026251,0.106676,9.090835
10.930117,-2.599620,1.016770,0.154685,9.154145
10.998430,-2.309918,1.019681,0.193297,9.234786
10.969863,-1.996536,1.003740,0.125824,9.072551
11.019953,-1.696933,1.121951,0.082633,10.089740
10.998430,-1.382200,0.885285,0.104416,8.041735
11.019953,-1.085135,0.731906,0.097423,6.667976
11.019953,-0.769315,0.638798,-0.080765,5.828699
10.998430,-0.157500,0.604568,-0.181302,5.738118
11.019953,0.138082,0.635848,-0.210418,6.077226
11.019953,0.453699,0.668229,-0.137218,6.185100
11.019953,0.769315,0.763408,-0.167951,7.075951
11.019953,1.085141,0.868660,-0.192959,8.035881
10.998430,1.382309,0.907129,-0.215419,8.411009
11.019953,1.697441,0.914381,-0.178819,8.356131
10.969863,1.997777,0.918291,-0.131562,8.319671
10.969863,2.281354,0.929694,-0.095211,8.340847
10.969863,2.586530,0.946345,-0.063849,8.415618
10.969863,2.916721,0.963739,-0.041257,8.498119
10.930117,3.231916,0.972719,-0.027214,8.537511
10.871035,3.498474,0.975031,-0.018912,8.539453
10.930117,3.822120,0.986133,-0.012906,8.517202
10.871035,4.123032,0.985230,-0.008354,8.474206
